ts_code	name	industry	sector
601985.SH	中国核电	新型电力	新能源电力设备
601988.SH	中国银行	银行	金融
603019.SH	中科曙光	IT设备	半导体电子
603077.SH	和邦生物	化工原料	化工材料
603087.SH	甘李药业	生物制药	医药医疗
603129.SH	春风动力	摩托车	汽车产业链
603259.SH	药明康德	化学制药	医药医疗
603260.SH	合盛硅业	化工原料	化工材料
603288.SH	海天味业	食品	消费食品家电轻工
603392.SH	万泰生物	生物制药	医药医疗
603486.SH	科沃斯	家用电器	消费食品家电轻工
603501.SH	豪威集团	半导体	半导体电子
603568.SH	伟明环保	环境保护	公用事业环保
603596.SH	伯特利	汽车配件	汽车产业链
603605.SH	珀莱雅	日用化工	化工材料
603606.SH	东方电缆	电气设备	新能源电力设备
603650.SH	彤程新材	化工原料	化工材料
603659.SH	璞泰来	化工原料	化工材料
603799.SH	华友钴业	小金属	有色金属资源
603806.SH	福斯特	塑料	化工材料
603816.SH	顾家家居	家居用品	消费食品家电轻工
603833.SH	欧派家居	家居用品	消费食品家电轻工
603885.SH	吉祥航空	空运	交通运输物流
603899.SH	晨光股份	文教休闲	消费食品家电轻工
603939.SH	益丰药房	医药商业	医药医疗
603979.SH	金诚信	铜	有色金属资源
603986.SH	兆易创新	半导体	半导体电子
603993.SH	洛阳钼业	小金属	有色金属资源
605117.SH	德业股份	电气设备	新能源电力设备
605499.SH	东鹏饮料	软饮料	消费食品家电轻工
605589.SH	圣泉集团	化工原料	化工材料
688002.SH	睿创微纳	通信设备	计算机通信互联网
688005.SH	容百科技	电气设备	新能源电力设备
688008.SH	澜起科技	半导体	半导体电子
688009.SH	中国通号	运输设备	机械设备高端制造
688012.SH	中微公司	半导体	半导体电子
688017.SH	绿的谐波	机械基件	机械设备高端制造
688036.SH	传音控股	通信设备	计算机通信互联网
688041.SH	海光信息	半导体	半导体电子
688047.SH	龙芯中科	半导体	半导体电子
688063.SH	派能科技	电气设备	新能源电力设备
688065.SH	凯赛生物	化工原料	化工材料
688072.SH	拓荆科技	半导体	半导体电子
688099.SH	晶晨股份	半导体	半导体电子
688111.SH	金山办公	软件服务	计算机通信互联网
688120.SH	华海清科	半导体	半导体电子
688122.SH	西部超导	小金属	有色金属资源
688126.SH	沪硅产业	半导体	半导体电子
688166.SH	博瑞医药	化学制药	医药医疗
688169.SH	石头科技	家用电器	消费食品家电轻工
688180.SH	实生物-U	生物制药	医药医疗
688188.SH	柏楚电子	专用机械	机械设备高端制造
688213.SH	思特威-W	半导体	半导体电子
688223.SH	晶科能源	电气设备	新能源电力设备
688235.SH	济神州-U	生物制药	医药医疗
688256.SH	寒武纪	半导体	半导体电子
688266.SH	璟制药-U	生物制药	医药医疗
688271.SH	联影医疗	医疗保健	医药医疗
688303.SH	大全能源	电气设备	新能源电力设备
688390.SH	固德威	电气设备	新能源电力设备
688396.SH	华润微	半导体	半导体电子
688472.SH	阿特斯	电气设备	新能源电力设备
688506.SH	百利天恒	化学制药	医药医疗
688521.SH	芯原股份	半导体	半导体电子
688578.SH	艾力斯	化学制药	医药医疗
688599.SH	天合光能	电气设备	新能源电力设备
688608.SH	恒玄科技	半导体	半导体电子
688617.SH	惠泰医疗	医疗保健	医药医疗
688777.SH	中控技术	专用机械	机械设备高端制造
688981.SH	中芯国际	半导体	半导体电子
